Label,Message
ham,oh how abt 2 days before Christmas
ham,schedule a meeting with the entire team in the office tomorrow
ham,Tommy is my brother
spam,OTP is 817453 for the txn of INR 8262.00 at SPICE JET on your SBI bank Debit card ending with 1385. Valid till 20:32:54. Do not share the OTP with anyone for security reasons
ham,the meeting is scheduled by john
spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a Meru customer."
spam,Delivered: Your package withPawzone Red 1.25 inch Dog Collarwas successfully delivered. More info at http://amazon.com/cBfWh1e
spam,"Dear AirAsia Customer, flight 5Q658 from RJA shall be boarding from gate 24C. Boarding gate closes26 mins prior to the departure time."
ham,I will indeed! What time?
ham,i will meet you on coming morning
ham,i will meet john adams in bangalore
ham,I have to catchup for dinner @ nite at his place
ham,lets meet 29th after diwali
spam,Ur transaction on HDFC Bank CREDIT Card ending 7967 for Rs. 50.00 has been credited/reversed by GOOGLE *SERVICES on 2015-11-09:19:39:04
spam,"Roaming Info: Opt for International Roaming packs & enjoy unlimited free incoming calls, lots of data and free calls to India. Packs start at Rs.649. To activate, call 9380809983 (International Tollfree) or click www.airtel.in/ir (data charges apply). Now roam freely without fear of bill shocks."
ham,meeting is @ sharp 4am
spam,Delivered: Your package withZoook ZB-Rocker-2 Wireless Blue...was successfully delivered. More info at http://amazon.com/cBfWh1e
spam,"Dear Air India Customer, flight 1Y287 from MAA shall be boarding from gate 25A. Boarding gate closes29 mins prior to the departure time."
ham,drop off mary to john's home
spam,"Dear JET Airways Customer, flight 8U768 from ISK shall be boarding from gate 14G. Boarding gate closes5 mins prior to the departure time."
ham,wish nishu happy birthday
spam,"Dear INDIGO Customer, flight 2E831 from ATQ shall be boarding from gate 12P. Boarding gate closes3 mins prior to the departure time."
spam,"Greetings, Snapdeal wishes you a Happy Onam."
ham,hey lets hv lunch together.
spam,"Dear Customer, You have made a Debit Card purchase of INR35.00 on 15 Mar. Info.IPS*GREEN NEST . Your Net Available Balance is INR 38,449.46."
spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a Maha Veer Auto Agency customer."
spam,"Greetings, Aryan Auto Agency wishes you a Happy Onam."
ham,pay mortgage tomorrow
spam,"Dear Customer, You have made a Debit Card purchase of INR147.00 on 15 Apr. Info.IPS*HYPERCITY R. Your Net Available Balance is INR 43,993.58."
spam,Delivered: Your package with4M IA260166375 Auto Specialty Tyre Dresser (250 ml)was successfully delivered. More info at http://shopclues.com/cBfWh1e
ham,meeting is from 11am to 12 noon tomorrow
ham,Ha ha..thnx buddy
spam,"Dear Customer, You have made a Debit Card purchase of INR479.20 on 29 Mar. Info.IIN*I-Debit*Ama. Your Net Available Balance is INR 1,02,445.73."
ham,birthday party on wed
spam,"Dear Customer, with reference to the Service request no. 69554370 on your Airtel Mobile, no action could be taken as the call/SMS reported by you was found to be of service/non-promotional in nature. If you are not satisfied with the resolution, contact 198 or Appellate to raise an appeal. For more details, visit www.airtel.in/mobile/prepaid/reach-airtel/mobile-customersupport/"
ham,What date you are coming to Goa?
ham,"abhanshu, mary and tom will meet in ccd"
ham,Transportation assistance to a neighboring community. Will no after visiting with Jamila?
ham,remind me to see the doctor next month
spam,OTP is 263817 for the txn of INR 17881.00 at AMAZON SELLER SERVICES on your HDFC bank CREDIT card ending with 7433. Valid till 3:31:34. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withNetgear WN3000RP-20..was successfully delivered. More info at http://patm.com/cBfWh1e
ham,Hi..I have to talk to you about something urgent. When can I call you?
spam,Delivered: Your package withYour Money or Your Life: 9 Step...was successfully delivered. More info at http://jabong.com/cBfWh1e
ham,check the emails received before 4pm
spam,"EMI FREE-Cash""OD""upto-20Lac From""BAJAJ""only @RS-42 per DAY% &amp; % will charge only on uses amount&amp; PL bryanmarshall@outlook.com% with same day disbursal,cal@ 8658649477-DEEPAK"
